target_rps,arrival_rps_mean,arrival_rps_p50,arrival_rps_p99,svc_mean_us,svc_p50_us,svc_p90_us,svc_p99_us,ipc,llc_mpki,freq_mhz,freq_util_pct,active_windows,total_requests,ghz_actual_rps,ghz_p50_ms,ghz_p90_ms,ghz_p99_ms,ghz_errors,saturated,svc_bad_windows,svc_bad_pct,svc_p50_norm_kcyc,svc_p90_norm_kcyc,svc_p99_norm_kcyc
100,99.62,100.00,100.00,91.3,89.4,113.5,123.7,0.872,0.20,848,27.8,307,3057,99.93,4.58,5.68,27.96,0,false,3,1.0,74.8,95.2,103.9
300,298.90,300.00,300.00,75.5,73.9,95.4,118.2,0.927,0.12,857,29.2,290,8656,299.96,4.08,5.19,28.56,1,false,10,3.3,62.2,81.0,100.4
500,497.73,500.00,501.00,64.4,62.5,84.7,114.0,1.085,0.11,892,30.7,296,14733,499.87,3.70,4.89,25.51,1,false,4,1.3,54.4,74.5,100.6
700,697.04,700.00,701.00,50.6,48.6,68.4,96.9,1.118,0.09,1114,38.4,296,20694,699.91,3.36,4.60,25.01,1,false,3,1.0,51.9,73.8,104.9
900,896.12,900.00,901.00,38.6,36.9,52.6,74.1,1.105,0.09,1456,50.2,305,27333,899.90,3.23,4.43,29.44,2,false,5,1.6,52.2,74.5,105.1
1100,1094.78,1100.00,1101.00,31.3,30.1,41.5,57.6,1.081,0.09,1844,63.5,291,31857,1099.93,2.97,4.25,36.57,4,false,9,3.0,54.7,75.2,104.5
1300,1294.75,1300.00,1301.00,27.9,26.8,36.7,52.2,1.051,0.09,2059,71.0,296,38316,1299.90,2.93,4.17,38.15,3,false,4,1.3,54.9,75.2,106.7
1500,1494.16,1500.00,1501.00,25.0,24.0,32.7,47.6,1.126,0.08,2212,76.2,304,45564,1499.88,2.75,4.08,36.99,3,false,6,1.9,52.7,71.7,104.4
1700,1693.77,1700.00,1702.00,21.4,20.6,27.9,41.6,1.243,0.08,2333,80.3,290,49257,1699.84,2.62,3.92,29.85,6,false,9,3.0,47.9,65.0,96.8
1900,1892.64,1900.00,1902.00,22.1,21.2,28.6,41.7,1.175,0.09,2377,81.9,290,54915,1899.89,2.70,4.28,36.39,2,false,9,3.0,50.4,67.9,99.0
1980,1970.03,1980.00,1983.00,22.3,21.4,29.0,43.6,1.178,0.09,2348,80.9,294,58089,1979.86,2.67,4.10,31.45,6,false,4,1.3,50.3,68.2,102.5
2060,2050.34,2060.00,2061.00,20.9,20.1,26.9,39.8,1.232,0.09,2417,83.3,296,60654,2059.84,2.56,4.00,29.99,4,false,3,1.0,48.3,64.9,95.8
2140,2131.84,2140.00,2143.01,19.4,18.7,24.9,36.4,1.337,0.09,2409,83.0,300,64203,2139.82,2.61,4.37,48.38,6,false,8,2.6,45.0,59.9,87.6
2220,2210.80,2220.00,2222.03,18.6,17.8,23.9,36.8,1.326,0.08,2519,86.8,298,65949,2219.84,2.58,4.13,32.62,5,false,11,3.6,44.7,60.0,92.1
2230,2223.87,2230.00,2233.00,18.8,18.2,24.3,35.5,1.313,0.09,2515,86.6,298,66292,2229.79,2.57,4.25,39.15,3,false,11,3.6,45.5,60.7,88.8
2250,2241.43,2250.00,2252.96,18.8,18.1,24.2,35.6,1.312,0.09,2535,87.3,305,68427,2249.81,2.57,4.42,42.95,2,false,4,1.3,45.5,61.0,89.6
2270,2262.00,2270.00,2272.00,18.1,17.4,23.4,35.2,1.352,0.09,2603,89.8,289,65469,2269.77,2.58,4.30,37.11,2,false,9,3.0,45.1,60.6,91.1
